1st army:
HealingTower10 - heal power 15, hp 30
AttackingTower1175 (power 20) attacks Tower125 (hp 10) -> Tower125 is dead
AttackingTower1176 (power 20) attacks Tower119 (hp 27) -> Tower119(7)
Tower1178 (power 20) attacks HealingTower19 (hp 18) -> HealingTower19 is dead
Tower1182 (power 20) attacks Warrior657 (hp 5) -> Warrior657 is dead
AttackingTower1184 (power 20) attacks AttackingTower11 (hp 10) -> AttackingTower11 is dead
AttackingTower1185 (power 20) attacks Tower140 (hp 30) -> Tower140(10)
HealingTower1189 heals { }
AttackingTower1191 (power 20) attacks CavalryArcher292 (hp 7) -> CavalryArcher292 is dead
Tower1192 (power 20) attacks AttackingTower196 (hp 30) -> AttackingTower196(10)
HealingTower1197 heals { }
Tower1198 (power 20) attacks HealingTower188 (hp 30) -> HealingTower188(10)
CavalryArcher210 (power 10) attacks AttackingTower1101 (hp 30) -> AttackingTower1101(20)
CavalryArcher222 (power 10) attacks Tower1182 (hp 20) -> Tower1182(10)
CavalryArcher223 (power 10) attacks Cavalry3166 (hp 10) -> Cavalry3166 is dead
CavalryArcher235 (power 10) attacks HealingTower1168 (hp 30) -> HealingTower1168(20)
CavalryArcher239 (power 10) attacks Tower1144 (hp 10) -> Tower1144 is dead
CavalryArcher246 (power 10) attacks Tower1178 (hp 8) -> Tower1178 is dead
CavalryArcher275 (power 10) attacks Warrior6181 (hp 5) -> Warrior6181 is dead
CavalryArcher276 (power 10) attacks Tower1153 (hp 8) -> Tower1153 is dead
CavalryArcher278 (power 10) attacks Warrior6193 (hp 5) -> Warrior6193 is dead
CavalryArcher283 (power 10) attacks Tower1198 (hp 21) -> Tower1198(11)
CavalryArcher284 (power 10) attacks Healer5186 (hp 3) -> Healer5186 is dead
CavalryArcher286 (power 10) attacks Cavalry3137 (hp 10) -> Cavalry3137 is dead
CavalryArcher290 (power 10) attacks Tower1161 (hp 5) -> Tower1161 is dead
CavalryArcher292 (power 10) attacks Tower1192 (hp 30) -> Tower1192(20)
CavalryArcher293 (power 10) attacks HealingTower1197 (hp 30) -> HealingTower1197(20)
CavalryArcher2106 (power 10) attacks CavalryArcher246 (hp 7) -> CavalryArcher246 is dead
CavalryArcher2108 (power 10) attacks HealingTower10 (hp 30) -> HealingTower10(20)
CavalryArcher2117 (power 10) attacks HealingTower163 (hp 30) -> HealingTower163(20)
CavalryArcher2118 (power 10) attacks Tower179 (hp 20) -> Tower179(10)
CavalryArcher2121 (power 10) attacks HealingTower154 (hp 30) -> HealingTower154(20)
CavalryArcher2123 (power 10) attacks CavalryArcher210 (hp 7) -> CavalryArcher210 is dead
CavalryArcher2124 (power 10) attacks HealingTower198 (hp 30) -> HealingTower198(20)
CavalryArcher2139 (power 10) attacks Warrior613 (hp 5) -> Warrior613 is dead
CavalryArcher2154 (power 10) attacks Tower180 (hp 30) -> Tower180(20)
CavalryArcher2172 (power 10) attacks Warrior628 (hp 5) -> Warrior628 is dead
CavalryArcher2174 (power 10) attacks AttackingTower112 (hp 30) -> AttackingTower112(20)
CavalryArcher2180 (power 10) attacks AttackingTower16 (hp 10) -> AttackingTower16 is dead
CavalryArcher2188 (power 10) attacks CavalryArcher286 (hp 7) -> CavalryArcher286 is dead
CavalryArcher2194 (power 10) attacks Healer585 (hp 3) -> Healer585 is dead
CavalryArcher2195 (power 10) attacks Tower130 (hp 27) -> Tower130(17)
Cavalry32 (power 7) attacks Healer5116 (hp 3) -> Healer5116 is dead
Cavalry315 (power 7) attacks Tower1148 (hp 3) -> Tower1148 is dead
Cavalry327 (power 7) attacks Tower1192 (hp 20) -> Tower1192(13)
Cavalry349 (power 7) attacks CavalryArcher2106 (hp 7) -> CavalryArcher2106 is dead
Cavalry359 (power 7) attacks Tower1192 (hp 13) -> Tower1192(6)
Cavalry361 (power 7) attacks AttackingTower1175 (hp 30) -> AttackingTower1175(23)
Cavalry367 (power 7) attacks CavalryArcher2174 (hp 7) -> CavalryArcher2174 is dead
Cavalry370 (power 7) attacks HealingTower1134 (hp 30) -> HealingTower1134(23)
Cavalry372 (power 7) attacks Archer4115 (hp 3) -> Archer4115 is dead
Cavalry373 (power 7) attacks HealingTower1152 (hp 30) -> HealingTower1152(23)
Cavalry382 (power 7) attacks Tower1122 (hp 23) -> Tower1122(16)
Cavalry391 (power 7) attacks CavalryArcher2124 (hp 7) -> CavalryArcher2124 is dead
Cavalry394 (power 7) attacks Tower1163 (hp 30) -> Tower1163(23)
Cavalry3104 (power 7) attacks HealingTower145 (hp 30) -> HealingTower145(23)
Cavalry3111 (power 7) attacks HealingTower154 (hp 20) -> HealingTower154(13)
Cavalry3129 (power 7) attacks Cavalry315 (hp 10) -> Cavalry315(3)
Cavalry3131 (power 7) attacks AttackingTower18 (hp 30) -> AttackingTower18(23)
Cavalry3137 (power 7) attacks Cavalry372 (hp 10) -> Cavalry372(3)
Cavalry3158 (power 7) attacks Tower197 (hp 30) -> Tower197(23)
Cavalry3166 (power 7) attacks Tower144 (hp 30) -> Tower144(23)
Cavalry3171 (power 7) attacks Healer536 (hp 3) -> Healer536 is dead
Cavalry3179 (power 7) attacks HealingTower145 (hp 23) -> HealingTower145(16)
Cavalry3190 (power 7) attacks Cavalry382 (hp 10) -> Cavalry382(3)
Cavalry3199 (power 7) attacks Tower197 (hp 23) -> Tower197(16)
Archer43 (power 3) attacks CavalryArcher2108 (hp 7) -> CavalryArcher2108(4)
Archer416 (power 3) attacks HealingTower1168 (hp 20) -> HealingTower1168(17)
Archer417 (power 3) attacks Tower1192 (hp 6) -> Tower1192(3)
Archer420 (power 3) attacks HealingTower1135 (hp 30) -> HealingTower1135(27)
Archer421 (power 3) attacks Healer5183 (hp 3) -> Healer5183 is dead
Archer437 (power 3) attacks CavalryArcher2195 (hp 7) -> CavalryArcher2195(4)
Archer456 (power 3) attacks Archer4133 (hp 3) -> Archer4133 is dead
Archer460 (power 3) attacks Tower1192 (hp 3) -> Tower1192 is dead
Archer462 (power 3) attacks AttackingTower1185 (hp 30) -> AttackingTower1185(27)
Archer466 (power 3) attacks AttackingTower1175 (hp 23) -> AttackingTower1175(20)
Archer474 (power 3) attacks AttackingTower1184 (hp 30) -> AttackingTower1184(27)
Archer477 (power 3) attacks Warrior6142 (hp 5) -> Warrior6142(2)
Archer481 (power 3) attacks HealingTower1110 (hp 30) -> HealingTower1110(27)
Archer4102 (power 3) attacks AttackingTower199 (hp 10) -> AttackingTower199(7)
Archer4113 (power 3) attacks Tower132 (hp 30) -> Tower132(27)
Archer4115 (power 3) attacks Tower140 (hp 10) -> Tower140(7)
Archer4119 (power 3) attacks HealingTower154 (hp 13) -> HealingTower154(10)
Archer4130 (power 3) attacks HealingTower154 (hp 10) -> HealingTower154(7)
Archer4132 (power 3) attacks Tower124 (hp 10) -> Tower124(7)
Archer4133 (power 3) attacks Cavalry327 (hp 10) -> Cavalry327(7)
Archer4145 (power 3) attacks Archer481 (hp 3) -> Archer481 is dead
Archer4150 (power 3) attacks CavalryArcher278 (hp 7) -> CavalryArcher278(4)
Archer4151 (power 3) attacks Warrior614 (hp 5) -> Warrior614(2)
Archer4156 (power 3) attacks HealingTower145 (hp 16) -> HealingTower145(13)
Archer4157 (power 3) attacks Tower144 (hp 23) -> Tower144(20)
Archer4164 (power 3) attacks AttackingTower18 (hp 23) -> AttackingTower18(20)
Archer4187 (power 3) attacks Tower179 (hp 10) -> Tower179(7)
Healer533 heals {  Warrior614 (2) -> 4, }
Healer536 heals {  Warrior614 (4) -> 5, }
Healer548 heals {  Cavalry327 (7) -> 9, }
Healer550 heals {  Cavalry327 (9) -> 10, }
Healer568 heals {  CavalryArcher278 (4) -> 6, }
Healer571 heals {  CavalryArcher278 (6) -> 7, }
Healer585 heals {  Cavalry315 (3) -> 5, }
Healer5114 heals {  CavalryArcher2108 (4) -> 6, }
Healer5116 heals {  CavalryArcher2108 (6) -> 7, }
Healer5120 heals {  HealingTower1110 (27) -> 29, }
Healer5155 heals {  HealingTower1110 (29) -> 30, }
Healer5159 heals {  HealingTower1135 (27) -> 29, }
Healer5165 heals {  HealingTower1135 (29) -> 30, }
Healer5170 heals {  Warrior6142 (2) -> 4, }
Healer5183 heals {  Warrior6142 (4) -> 5, }
Healer5186 heals {  AttackingTower1184 (27) -> 29, }
Healer5196 heals {  AttackingTower1184 (29) -> 30, }
Warrior67 (power 2) attacks Tower1103 (hp 30) -> Tower1103(28)
Warrior613 (power 2) attacks HealingTower1189 (hp 30) -> HealingTower1189(28)
Warrior614 (power 2) attacks CavalryArcher2195 (hp 4) -> CavalryArcher2195(2)
Warrior618 (power 2) attacks Warrior6177 (hp 5) -> Warrior6177(3)
Warrior628 (power 2) attacks HealingTower1134 (hp 23) -> HealingTower1134(21)
Warrior634 (power 2) attacks Archer4157 (hp 3) -> Archer4157(1)
Warrior643 (power 2) attacks CavalryArcher2139 (hp 7) -> CavalryArcher2139(5)
Warrior651 (power 2) attacks HealingTower1134 (hp 21) -> HealingTower1134(19)
Warrior653 (power 2) attacks HealingTower1134 (hp 19) -> HealingTower1134(17)
Warrior655 (power 2) attacks HealingTower1143 (hp 30) -> HealingTower1143(28)
Warrior657 (power 2) attacks Warrior6167 (hp 5) -> Warrior6167(3)
Warrior658 (power 2) attacks HealingTower1140 (hp 30) -> HealingTower1140(28)
Warrior664 (power 2) attacks Tower1127 (hp 10) -> Tower1127(8)
Warrior665 (power 2) attacks HealingTower1189 (hp 28) -> HealingTower1189(26)
Warrior687 (power 2) attacks HealingTower1100 (hp 30) -> HealingTower1100(28)
Warrior6109 (power 2) attacks Archer466 (hp 3) -> Archer466(1)
Warrior6125 (power 2) attacks AttackingTower195 (hp 10) -> AttackingTower195(8)
Warrior6126 (power 2) attacks Tower179 (hp 7) -> Tower179(5)
Warrior6138 (power 2) attacks AttackingTower18 (hp 20) -> AttackingTower18(18)
Warrior6141 (power 2) attacks Warrior653 (hp 5) -> Warrior653(3)
Warrior6142 (power 2) attacks Cavalry370 (hp 10) -> Cavalry370(8)
Warrior6160 (power 2) attacks Warrior634 (hp 5) -> Warrior634(3)
Warrior6167 (power 2) attacks HealingTower198 (hp 20) -> HealingTower198(18)
Warrior6169 (power 2) attacks Cavalry382 (hp 3) -> Cavalry382(1)
Warrior6177 (power 2) attacks HealingTower188 (hp 10) -> HealingTower188(8)
Warrior6181 (power 2) attacks CavalryArcher278 (hp 7) -> CavalryArcher278(5)
Warrior6193 (power 2) attacks AttackingTower199 (hp 7) -> AttackingTower199(5)
HealingTower10 heals {  Warrior634 (3) -> 5,  Warrior653 (3) -> 5,  Archer466 (1) -> 3, }
AttackingTower11 (power 20) attacks HealingTower1162 (hp 30) -> HealingTower1162(10)
AttackingTower14 (power 20) attacks Tower1103 (hp 28) -> Tower1103(8)
HealingTower15 heals {  Cavalry370 (8) -> 10,  CavalryArcher278 (5) -> 7,  Cavalry315 (5) -> 10, }
AttackingTower16 (power 20) attacks Tower1136 (hp 10) -> Tower1136 is dead
AttackingTower18 (power 20) attacks HealingTower1197 (hp 20) -> HealingTower1197 is dead
HealingTower19 heals {  Cavalry372 (3) -> 10,  Cavalry382 (1) -> 10, }
AttackingTower111 (power 20) attacks Tower1127 (hp 8) -> Tower1127 is dead
AttackingTower112 (power 20) attacks Archer4132 (hp 3) -> Archer4132 is dead
Tower119 (power 20) attacks HealingTower1162 (hp 10) -> HealingTower1162 is dead
Tower124 (power 20) attacks Archer4119 (hp 3) -> Archer4119 is dead
Tower125 (power 20) attacks CavalryArcher2121 (hp 7) -> CavalryArcher2121 is dead
Tower126 (power 20) attacks HealingTower1143 (hp 28) -> HealingTower1143(8)
AttackingTower129 (power 20) attacks HealingTower1143 (hp 8) -> HealingTower1143 is dead
Tower130 (power 20) attacks AttackingTower1185 (hp 27) -> AttackingTower1185(7)
AttackingTower131 (power 20) attacks Tower1182 (hp 10) -> Tower1182 is dead
Tower132 (power 20) attacks Tower1198 (hp 11) -> Tower1198 is dead
HealingTower138 heals {  HealingTower10 (20) -> 30,  AttackingTower112 (20) -> 30, }
Tower140 (power 20) attacks CavalryArcher2195 (hp 2) -> CavalryArcher2195 is dead
HealingTower141 heals {  HealingTower163 (20) -> 30,  AttackingTower18 (18) -> 30, }
HealingTower142 heals {  HealingTower198 (18) -> 30,  HealingTower145 (13) -> 28, }
Tower144 (power 20) attacks HealingTower1134 (hp 17) -> HealingTower1134 is dead
HealingTower145 heals {  AttackingTower131 (10) -> 25, }
AttackingTower147 (power 20) attacks Warrior6177 (hp 3) -> Warrior6177 is dead
HealingTower152 heals {  HealingTower145 (28) -> 30,  AttackingTower131 (25) -> 30,  HealingTower138 (10) -> 25, }
HealingTower154 heals {  HealingTower138 (25) -> 30,  AttackingTower196 (10) -> 25, }
HealingTower163 heals {  AttackingTower196 (25) -> 30,  HealingTower188 (8) -> 23, }
AttackingTower169 (power 20) attacks CavalryArcher2118 (hp 7) -> CavalryArcher2118 is dead
Tower179 (power 20) attacks CavalryArcher2108 (hp 7) -> CavalryArcher2108 is dead
Tower180 (power 20) attacks Warrior6167 (hp 3) -> Warrior6167 is dead
HealingTower188 heals {  AttackingTower195 (8) -> 23, }
Tower189 (power 20) attacks Archer4157 (hp 1) -> Archer4157 is dead
AttackingTower195 (power 20) attacks HealingTower1152 (hp 23) -> HealingTower1152(3)
AttackingTower196 (power 20) attacks Cavalry3190 (hp 10) -> Cavalry3190 is dead
Tower197 (power 20) attacks AttackingTower1175 (hp 20) -> AttackingTower1175 is dead
HealingTower198 heals {  HealingTower188 (23) -> 30,  AttackingTower195 (23) -> 30,  HealingTower154 (7) -> 22, }
AttackingTower199 (power 20) attacks CavalryArcher2139 (hp 5) -> CavalryArcher2139 is dead
HealingTower1100 heals {  HealingTower1140 (28) -> 30,  HealingTower1189 (26) -> 30,  AttackingTower1101 (20) -> 30, }
AttackingTower1101 (power 20) attacks AttackingTower131 (hp 30) -> AttackingTower131(10)
Tower1103 (power 20) attacks Cavalry315 (hp 10) -> Cavalry315 is dead
HealingTower1105 heals {  HealingTower1100 (28) -> 30,  HealingTower1168 (17) -> 30, }
HealingTower1107 heals {  AttackingTower1185 (7) -> 22, }
HealingTower1110 heals {  AttackingTower1185 (22) -> 30,  HealingTower1152 (3) -> 18, }
AttackingTower1112 (power 20) attacks HealingTower198 (hp 30) -> HealingTower198(10)
Tower1122 (power 20) attacks Tower144 (hp 20) -> Tower144 is dead
Tower1127 (power 20) attacks HealingTower10 (hp 30) -> HealingTower10(10)
AttackingTower1128 (power 20) attacks HealingTower163 (hp 30) -> HealingTower163(10)
HealingTower1134 heals {  HealingTower1152 (18) -> 30, }
HealingTower1135 heals { }
Tower1136 (power 20) attacks Tower124 (hp 7) -> Tower124 is dead
HealingTower1140 heals { }
HealingTower1143 heals { }
Tower1144 (power 20) attacks Tower189 (hp 8) -> Tower189 is dead
Tower1146 (power 20) attacks AttackingTower131 (hp 10) -> AttackingTower131 is dead
HealingTower1147 heals { }
Tower1148 (power 20) attacks HealingTower138 (hp 30) -> HealingTower138(10)
AttackingTower1149 (power 20) attacks AttackingTower195 (hp 30) -> AttackingTower195(10)
HealingTower1152 heals { }
Tower1153 (power 20) attacks Tower132 (hp 27) -> Tower132(7)
Tower1161 (power 20) attacks Warrior634 (hp 5) -> Warrior634 is dead
HealingTower1162 heals { }
Tower1163 (power 20) attacks Cavalry367 (hp 10) -> Cavalry367 is dead
HealingTower1168 heals { }
AttackingTower1173 (power 20) attacks CavalryArcher278 (hp 7) -> CavalryArcher278 is dead
AttackingTower1175 (power 20) attacks AttackingTower129 (hp 30) -> AttackingTower129(10)
AttackingTower1176 (power 20) attacks AttackingTower18 (hp 30) -> AttackingTower18(10)
Tower1178 (power 20) attacks Tower140 (hp 7) -> Tower140 is dead
Tower1182 (power 20) attacks AttackingTower129 (hp 10) -> AttackingTower129 is dead
AttackingTower1184 (power 20) attacks Archer466 (hp 3) -> Archer466 is dead
AttackingTower1185 (power 20) attacks AttackingTower14 (hp 30) -> AttackingTower14(10)
HealingTower1189 heals { }
AttackingTower1191 (power 20) attacks AttackingTower18 (hp 10) -> AttackingTower18 is dead
Tower1192 (power 20) attacks HealingTower145 (hp 30) -> HealingTower145(10)
HealingTower1197 heals { }
Tower1198 (power 20) attacks Cavalry370 (hp 10) -> Cavalry370 is dead
CavalryArcher210 (power 10) attacks Warrior6142 (hp 5) -> Warrior6142 is dead
CavalryArcher222 (power 10) attacks AttackingTower1173 (hp 30) -> AttackingTower1173(20)
CavalryArcher223 (power 10) attacks HealingTower1140 (hp 30) -> HealingTower1140(20)
CavalryArcher235 (power 10) attacks Archer4151 (hp 3) -> Archer4151 is dead
CavalryArcher239 (power 10) attacks HealingTower1152 (hp 30) -> HealingTower1152(20)
CavalryArcher246 (power 10) attacks CavalryArcher2172 (hp 7) -> CavalryArcher2172 is dead
CavalryArcher275 (power 10) attacks HealingTower1152 (hp 20) -> HealingTower1152(10)
CavalryArcher276 (power 10) attacks Tower1103 (hp 8) -> Tower1103 is dead
CavalryArcher278 (power 10) attacks AttackingTower1184 (hp 30) -> AttackingTower1184(20)
CavalryArcher283 (power 10) attacks HealingTower1135 (hp 30) -> HealingTower1135(20)
CavalryArcher284 (power 10) attacks HealingTower1140 (hp 20) -> HealingTower1140(10)
CavalryArcher286 (power 10) attacks HealingTower1110 (hp 30) -> HealingTower1110(20)
CavalryArcher290 (power 10) attacks HealingTower1168 (hp 30) -> HealingTower1168(20)
CavalryArcher292 (power 10) attacks HealingTower1110 (hp 20) -> HealingTower1110(10)
CavalryArcher293 (power 10) attacks HealingTower1100 (hp 30) -> HealingTower1100(20)
CavalryArcher2106 (power 10) attacks Tower130 (hp 17) -> Tower130(7)
CavalryArcher2108 (power 10) attacks Tower197 (hp 16) -> Tower197(6)
CavalryArcher2117 (power 10) attacks Warrior618 (hp 5) -> Warrior618 is dead
CavalryArcher2118 (power 10) attacks AttackingTower14 (hp 10) -> AttackingTower14 is dead
CavalryArcher2121 (power 10) attacks Tower180 (hp 20) -> Tower180(10)
CavalryArcher2123 (power 10) attacks Warrior614 (hp 5) -> Warrior614 is dead
CavalryArcher2124 (power 10) attacks HealingTower142 (hp 30) -> HealingTower142(20)
CavalryArcher2139 (power 10) attacks Tower130 (hp 7) -> Tower130 is dead
CavalryArcher2154 (power 10) attacks Tower179 (hp 5) -> Tower179 is dead
CavalryArcher2172 (power 10) attacks Tower197 (hp 6) -> Tower197 is dead
CavalryArcher2174 (power 10) attacks Cavalry372 (hp 10) -> Cavalry372 is dead
CavalryArcher2180 (power 10) attacks Tower132 (hp 7) -> Tower132 is dead
CavalryArcher2188 (power 10) attacks Archer43 (hp 3) -> Archer43 is dead
CavalryArcher2194 (power 10) attacks HealingTower10 (hp 10) -> HealingTower10 is dead
CavalryArcher2195 (power 10) attacks CavalryArcher239 (hp 7) -> CavalryArcher239 is dead
Cavalry32 (power 7) attacks CavalryArcher2154 (hp 7) -> CavalryArcher2154 is dead
Cavalry315 (power 7) attacks AttackingTower1101 (hp 30) -> AttackingTower1101(23)
Cavalry327 (power 7) attacks HealingTower1189 (hp 30) -> HealingTower1189(23)
Cavalry349 (power 7) attacks HealingTower1110 (hp 10) -> HealingTower1110(3)
Cavalry359 (power 7) attacks HealingTower1135 (hp 20) -> HealingTower1135(13)
Cavalry361 (power 7) attacks Tower1163 (hp 23) -> Tower1163(16)
Cavalry367 (power 7) attacks AttackingTower1184 (hp 20) -> AttackingTower1184(13)
Cavalry370 (power 7) attacks Tower1122 (hp 16) -> Tower1122(9)
Cavalry372 (power 7) attacks AttackingTower1185 (hp 30) -> AttackingTower1185(23)
Cavalry373 (power 7) attacks AttackingTower1173 (hp 20) -> AttackingTower1173(13)
Cavalry382 (power 7) attacks HealingTower1168 (hp 20) -> HealingTower1168(13)
Cavalry391 (power 7) attacks AttackingTower1184 (hp 13) -> AttackingTower1184(6)
Cavalry394 (power 7) attacks HealingTower1140 (hp 10) -> HealingTower1140(3)
Cavalry3104 (power 7) attacks AttackingTower147 (hp 30) -> AttackingTower147(23)
Cavalry3111 (power 7) attacks HealingTower145 (hp 10) -> HealingTower145(3)
Cavalry3129 (power 7) attacks HealingTower163 (hp 10) -> HealingTower163(3)
Cavalry3131 (power 7) attacks AttackingTower112 (hp 30) -> AttackingTower112(23)
Cavalry3137 (power 7) attacks AttackingTower196 (hp 30) -> AttackingTower196(23)
Cavalry3158 (power 7) attacks HealingTower154 (hp 22) -> HealingTower154(15)
Cavalry3166 (power 7) attacks HealingTower198 (hp 10) -> HealingTower198(3)
Cavalry3171 (power 7) attacks Tower180 (hp 10) -> Tower180(3)
Cavalry3179 (power 7) attacks Warrior653 (hp 5) -> Warrior653 is dead
Cavalry3190 (power 7) attacks AttackingTower147 (hp 23) -> AttackingTower147(16)
Cavalry3199 (power 7) attacks Cavalry382 (hp 10) -> Cavalry382(3)
Archer43 (power 3) attacks HealingTower1135 (hp 13) -> HealingTower1135(10)
Archer416 (power 3) attacks HealingTower1189 (hp 23) -> HealingTower1189(20)
Archer417 (power 3) attacks AttackingTower1185 (hp 23) -> AttackingTower1185(20)
Archer420 (power 3) attacks HealingTower1152 (hp 10) -> HealingTower1152(7)
Archer421 (power 3) attacks AttackingTower1184 (hp 6) -> AttackingTower1184(3)
Archer437 (power 3) attacks HealingTower1168 (hp 13) -> HealingTower1168(10)
Archer456 (power 3) attacks AttackingTower1184 (hp 3) -> AttackingTower1184 is dead
Archer460 (power 3) attacks HealingTower1105 (hp 30) -> HealingTower1105(27)
Archer462 (power 3) attacks HealingTower1152 (hp 7) -> HealingTower1152(4)
Archer466 (power 3) attacks HealingTower1140 (hp 3) -> HealingTower1140 is dead
Archer474 (power 3) attacks HealingTower1152 (hp 4) -> HealingTower1152(1)
Archer477 (power 3) attacks Tower1163 (hp 16) -> Tower1163(13)
Archer481 (power 3) attacks HealingTower1152 (hp 1) -> HealingTower1152 is dead
Archer4102 (power 3) attacks Tower180 (hp 3) -> Tower180 is dead
Archer4113 (power 3) attacks HealingTower142 (hp 20) -> HealingTower142(17)
Archer4115 (power 3) attacks HealingTower145 (hp 3) -> HealingTower145 is dead
Archer4119 (power 3) attacks Warrior658 (hp 5) -> Warrior658(2)
Archer4130 (power 3) attacks HealingTower163 (hp 3) -> HealingTower163 is dead
Archer4132 (power 3) attacks Cavalry327 (hp 10) -> Cavalry327(7)
Archer4133 (power 3) attacks Tower119 (hp 7) -> Tower119(4)
Archer4145 (power 3) attacks Tower126 (hp 8) -> Tower126(5)
Archer4150 (power 3) attacks HealingTower154 (hp 15) -> HealingTower154(12)
Archer4151 (power 3) attacks Cavalry382 (hp 3) -> Cavalry382 is dead
Archer4156 (power 3) attacks AttackingTower195 (hp 10) -> AttackingTower195(7)
Archer4157 (power 3) attacks HealingTower154 (hp 12) -> HealingTower154(9)
Archer4164 (power 3) attacks HealingTower138 (hp 10) -> HealingTower138(7)
Archer4187 (power 3) attacks HealingTower188 (hp 30) -> HealingTower188(27)
Healer533 heals {  Cavalry327 (7) -> 9, }
Healer536 heals {  Cavalry327 (9) -> 10, }
Healer548 heals {  Warrior658 (2) -> 4, }
Healer550 heals {  Warrior658 (4) -> 5, }
Healer568 heals {  HealingTower188 (27) -> 29, }
Healer571 heals {  HealingTower188 (29) -> 30, }
Healer585 heals {  AttackingTower112 (23) -> 25, }
Healer5114 heals {  HealingTower1105 (27) -> 29, }
Healer5116 heals {  HealingTower1105 (29) -> 30, }
Healer5120 heals {  AttackingTower1101 (23) -> 25, }
Healer5155 heals {  AttackingTower1101 (25) -> 27, }
Healer5159 heals {  AttackingTower1101 (27) -> 29, }
Healer5165 heals {  AttackingTower1101 (29) -> 30, }
Healer5170 heals {  HealingTower1100 (20) -> 22, }
Healer5183 heals {  HealingTower1100 (22) -> 24, }
Healer5186 heals {  HealingTower1100 (24) -> 26, }
Healer5196 heals {  HealingTower1100 (26) -> 28, }
Warrior67 (power 2) attacks Tower1122 (hp 9) -> Tower1122(7)
Warrior613 (power 2) attacks AttackingTower1173 (hp 13) -> AttackingTower1173(11)
Warrior614 (power 2) attacks HealingTower1105 (hp 30) -> HealingTower1105(28)
Warrior618 (power 2) attacks Tower1163 (hp 13) -> Tower1163(11)
Warrior628 (power 2) attacks HealingTower1110 (hp 3) -> HealingTower1110(1)
Warrior634 (power 2) attacks HealingTower1100 (hp 28) -> HealingTower1100(26)
Warrior643 (power 2) attacks Tower1163 (hp 11) -> Tower1163(9)
Warrior651 (power 2) attacks HealingTower1105 (hp 28) -> HealingTower1105(26)
Warrior653 (power 2) attacks AttackingTower1185 (hp 20) -> AttackingTower1185(18)
Warrior655 (power 2) attacks Tower1122 (hp 7) -> Tower1122(5)
Warrior657 (power 2) attacks HealingTower1135 (hp 10) -> HealingTower1135(8)
Warrior658 (power 2) attacks HealingTower1189 (hp 20) -> HealingTower1189(18)
Warrior664 (power 2) attacks HealingTower1110 (hp 1) -> HealingTower1110 is dead
Warrior665 (power 2) attacks AttackingTower1173 (hp 11) -> AttackingTower1173(9)
Warrior687 (power 2) attacks AttackingTower1173 (hp 9) -> AttackingTower1173(7)
Warrior6109 (power 2) attacks Cavalry327 (hp 10) -> Cavalry327(8)
Warrior6125 (power 2) attacks HealingTower188 (hp 30) -> HealingTower188(28)
Warrior6126 (power 2) attacks HealingTower141 (hp 30) -> HealingTower141(28)
Warrior6138 (power 2) attacks HealingTower198 (hp 3) -> HealingTower198(1)
Warrior6141 (power 2) attacks AttackingTower196 (hp 23) -> AttackingTower196(21)
Warrior6142 (power 2) attacks HealingTower198 (hp 1) -> HealingTower198 is dead
Warrior6160 (power 2) attacks HealingTower154 (hp 9) -> HealingTower154(7)
Warrior6167 (power 2) attacks HealingTower138 (hp 7) -> HealingTower138(5)
Warrior6169 (power 2) attacks HealingTower188 (hp 28) -> HealingTower188(26)
Warrior6177 (power 2) attacks AttackingTower147 (hp 16) -> AttackingTower147(14)
Warrior6181 (power 2) attacks HealingTower141 (hp 28) -> HealingTower141(26)
Warrior6193 (power 2) attacks Tower119 (hp 4) -> Tower119(2)
HealingTower10 heals {  Cavalry327 (8) -> 10,  HealingTower141 (26) -> 30,  HealingTower188 (26) -> 30, }
AttackingTower11 (power 20) attacks HealingTower1100 (hp 26) -> HealingTower1100(6)
AttackingTower14 (power 20) attacks HealingTower1135 (hp 8) -> HealingTower1135 is dead
HealingTower15 heals {  AttackingTower112 (25) -> 30,  AttackingTower196 (21) -> 30,  HealingTower142 (17) -> 30, }
AttackingTower16 (power 20) attacks HealingTower1100 (hp 6) -> HealingTower1100 is dead
AttackingTower18 (power 20) attacks HealingTower1168 (hp 10) -> HealingTower1168 is dead
HealingTower19 heals {  AttackingTower147 (14) -> 29, }
AttackingTower111 (power 20) attacks AttackingTower1185 (hp 18) -> AttackingTower1185 is dead
AttackingTower112 (power 20) attacks Tower1163 (hp 9) -> Tower1163 is dead
Tower119 (power 20) attacks Tower1122 (hp 5) -> Tower1122 is dead
Tower124 (power 20) attacks HealingTower1105 (hp 26) -> HealingTower1105(6)
Tower125 (power 20) attacks HealingTower1189 (hp 18) -> HealingTower1189 is dead
Tower126 (power 20) attacks AttackingTower1173 (hp 7) -> AttackingTower1173 is dead
AttackingTower129 (power 20) attacks HealingTower1105 (hp 6) -> HealingTower1105 is dead
Tower130 (power 20) attacks AttackingTower1101 (hp 30) -> AttackingTower1101(10)
AttackingTower131 (power 20) attacks AttackingTower1101 (hp 10) -> AttackingTower1101 is dead
===========================
Results:
1st army:
HealingTower15 - heal power 15, hp 30
AttackingTower112 - attack power 20, hp 30
Tower119 - attack power 20, hp 2
Tower126 - attack power 20, hp 5
Cavalry327 - attack power 7, hp 10
HealingTower138 - heal power 15, hp 5
HealingTower141 - heal power 15, hp 30
HealingTower142 - heal power 15, hp 30
AttackingTower147 - attack power 20, hp 29
